Metric,Task,Value,Value
,,mean,std
learning_speed,1,0.08621337689566126,0.006232999026344057
learning_speed,2,0.04063391431354858,0.002049261739187558
learning_speed,3,0.0492235630404309,0.002287159846672197
learning_speed,4,0.06519822282734926,0.002092202036859156
mc_variance,1,0.0870893050701501,0.010649517727399572
mc_variance,2,0.04106849898581514,0.0015734835901167223
mc_variance,3,0.049230951311578994,0.0016456677011951835
mc_variance,4,0.0669871937198114,0.0019937809339801646
uniform,1,0.08713281466945583,0.008296532544283476
uniform,2,0.04112951181679534,0.002043892989501813
uniform,3,0.04881456218903138,0.003365907750204184
uniform,4,0.06662028900298245,0.003215580066110238
vog,1,0.08886808816360113,0.006142063299497682
vog,2,0.04078617348711942,0.0014024201263962016
vog,3,0.0483913758939712,0.001979204236986805
vog,4,0.06682545045035758,0.0035429701695739676
